 name:     copper                                                 Feff 8.20
 formula:  Cu
 sites:    Cu1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 POT  SCF  20  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.411 Rnm= 1.456 K  shell
 Pot 1 Z=29 Rmt= 1.358 Rnm= 1.395
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.652E+00 kf=1.985E+00 Vint=-1.668E+01 Rs_int= 1.827
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   15      icalc       2
 -----------------------------------------------------------------------
   3  48.000   5.9353    2.6376   -7.65200 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  29 Cu       absorbing atom
     0.0000   -3.6100    0.0000  1  29 Cu    
    -1.8050    1.8050    0.0000  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -1.540  3.1234E+00  5.0385E-01 -4.4458E+00  9.817E-01  2.9538E+00  3.3515E-01
 -1.400  3.1961E+00  4.1595E-02 -3.4628E+00  9.529E-01  5.8372E+00  6.6231E-01
 -1.260  3.2869E+00  8.2221E-03 -1.6930E+00  9.438E-01  7.8723E+00  8.9322E-01
 -1.120  3.3747E+00  3.9773E-02 -2.1687E+00  9.426E-01  9.3535E+00  1.0613E+00
 -0.980  3.4505E+00  1.6945E-01 -1.9910E+00  9.452E-01  1.0495E+01  1.1908E+00
 -0.840  3.5119E+00  1.7385E-01 -1.5513E+00  9.493E-01  1.1394E+01  1.2928E+00
 -0.700  3.5594E+00  1.0801E-01 -2.0259E+00  9.536E-01  1.2104E+01  1.3734E+00
 -0.560  3.5949E+00  7.1775E-02 -2.9545E+00  9.575E-01  1.2656E+01  1.4360E+00
 -0.420  3.6202E+00  4.8654E-02 -4.1107E+00  9.606E-01  1.3069E+01  1.4828E+00
 -0.337  3.6311E+00  3.7613E-02 -4.8768E+00  9.621E-01  1.3254E+01  1.5038E+00
  0.000  3.6497E+00  2.1243E-05 -2.2033E+00  9.647E-01  1.3582E+01  1.5410E+00
  0.100  3.6513E+00  1.0528E-02 -3.3606E+00  9.650E-01  1.3609E+01  1.5441E+00
  0.200  3.6557E+00  2.0810E-02 -4.4518E+00  9.656E-01  1.3689E+01  1.5534E+00
  0.300  3.6630E+00  3.0657E-02 -5.4804E+00  9.667E-01  1.3818E+01  1.5687E+00
  0.400  3.6728E+00  3.9961E-02 -6.4483E+00  9.683E-01  1.3987E+01  1.5900E+00
  0.500  3.6846E+00  4.8704E-02 -7.3576E+00  9.702E-01  1.4188E+01  1.6169E+00
  0.600  3.6981E+00  5.6919E-02 -8.2104E+00  9.726E-01  1.4406E+01  1.6492E+00
  0.700  3.7125E+00  6.4656E-02 -9.0089E+00  9.754E-01  1.4627E+01  1.6866E+00
  0.800  3.7273E+00  7.1948E-02 -9.7552E+00  9.786E-01  1.4834E+01  1.7289E+00
  0.900  3.7416E+00  7.8783E-02 -1.0452E+01  9.821E-01  1.5011E+01  1.7758E+00
  1.000  3.7547E+00  8.5103E-02 -1.1100E+01  9.861E-01  1.5143E+01  1.8270E+00
  1.100  3.7658E+00  9.0800E-02 -1.1704E+01  9.905E-01  1.5217E+01  1.8821E+00
  1.200  3.7741E+00  9.5736E-02 -1.2264E+01  9.954E-01  1.5222E+01  1.9411E+00
  1.300  3.7788E+00  9.9748E-02 -1.2783E+01  1.001E+00  1.5155E+01  2.0038E+00
  1.400  3.7793E+00  1.0267E-01 -1.3263E+01  1.006E+00  1.5016E+01  2.0698E+00
  1.500  3.7747E+00  1.0436E-01 -1.3704E+01  1.013E+00  1.4811E+01  2.1393E+00
  1.600  3.7646E+00  1.0469E-01 -1.4109E+01  1.019E+00  1.4551E+01  2.2120E+00
  1.700  3.7484E+00  1.0358E-01 -1.4478E+01  1.027E+00  1.4251E+01  2.2879E+00
  1.800  3.7254E+00  1.0100E-01 -1.4811E+01  1.034E+00  1.3929E+01  2.3670E+00
  1.900  3.6953E+00  9.6964E-02 -1.5106E+01  1.042E+00  1.3603E+01  2.4493E+00
  2.000  3.6575E+00  9.1551E-02 -1.5364E+01  1.049E+00  1.3295E+01  2.5350E+00
  2.200  3.5595E+00  7.6913E-02 -1.5756E+01  1.062E+00  1.2817E+01  2.7169E+00
  2.400  3.3853E+00  5.7528E-02 -1.5860E+01  1.082E+00  1.1285E+01  2.9302E+00
  2.600  3.3062E+00  5.1154E-02 -1.6474E+01  1.248E+00  6.6826E+00  3.1047E+00
  2.800  3.3017E+00  4.4257E-02 -1.7334E+01  1.292E+00  5.8218E+00  3.2454E+00
  3.000  3.2624E+00  3.4984E-02 -1.8070E+01  1.306E+00  5.4228E+00  3.3955E+00
  3.200  3.2015E+00  2.5521E-02 -1.8738E+01  1.303E+00  5.2578E+00  3.5522E+00
  3.400  3.1283E+00  1.7375E-02 -1.9380E+01  1.288E+00  5.2177E+00  3.7142E+00
  3.600  3.0456E+00  1.2055E-02 -2.0091E+01  1.271E+00  5.2555E+00  3.8807E+00
  3.800  2.9575E+00  1.0612E-02 -2.0856E+01  1.249E+00  5.3467E+00  4.0513E+00
  4.000  2.8649E+00  1.3161E-02 -2.1433E+01  1.228E+00  5.4773E+00  4.2255E+00
  4.200  2.7692E+00  1.8356E-02 -2.1762E+01  1.208E+00  5.6384E+00  4.4027E+00
  4.400  2.6730E+00  2.5947E-02 -2.1976E+01  1.187E+00  5.8242E+00  4.5827E+00
  4.600  2.5754E+00  3.5680E-02 -2.2149E+01  1.168E+00  6.0308E+00  4.7650E+00
  4.800  2.4771E+00  4.7027E-02 -2.2295E+01  1.151E+00  6.2551E+00  4.9493E+00
  5.000  2.3785E+00  5.9832E-02 -2.2442E+01  1.134E+00  6.4949E+00  5.1355E+00
  5.200  2.2792E+00  7.3585E-02 -2.2580E+01  1.118E+00  6.7486E+00  5.3231E+00
  5.400  2.1798E+00  8.7831E-02 -2.2707E+01  1.103E+00  7.0149E+00  5.5121E+00
  5.600  2.0802E+00  1.0199E-01 -2.2831E+01  1.090E+00  7.2926E+00  5.7023E+00
  5.800  1.9808E+00  1.1565E-01 -2.2948E+01  1.077E+00  7.5810E+00  5.8936E+00
  6.000  1.8825E+00  1.2850E-01 -2.3058E+01  1.065E+00  7.8792E+00  6.0857E+00
  6.500  1.6417E+00  1.5306E-01 -2.3310E+01  1.041E+00  8.6646E+00  6.5693E+00
  7.000  1.4117E+00  1.6542E-01 -2.3538E+01  1.022E+00  9.5011E+00  7.0565E+00
  7.500  1.1927E+00  1.6718E-01 -2.3749E+01  1.007E+00  1.0384E+01  7.5464E+00
  8.000  9.8236E-01  1.6163E-01 -2.3947E+01  9.945E-01  1.1309E+01  8.0383E+00
  8.500  7.8078E-01  1.5096E-01 -2.4139E+01  9.837E-01  1.2275E+01  8.5318E+00
  9.000  5.8873E-01  1.3655E-01 -2.4331E+01  9.747E-01  1.3277E+01  9.0265E+00
  9.500  4.0677E-01  1.2053E-01 -2.4525E+01  9.669E-01  1.4316E+01  9.5221E+00
 10.000  2.3234E-01  1.0506E-01 -2.4721E+01  9.586E-01  1.5388E+01  1.0018E+01
 11.000 -1.0373E-01  7.8673E-02 -2.5112E+01  9.432E-01  1.7630E+01  1.1013E+01
 12.000 -4.1685E-01  5.7601E-02 -2.5505E+01  9.334E-01  1.9994E+01  1.2009E+01
 13.000 -7.0466E-01  4.2112E-02 -2.5894E+01  9.286E-01  2.2474E+01  1.3006E+01
 14.000 -9.7229E-01  3.0979E-02 -2.6279E+01  9.254E-01  2.5062E+01  1.4004E+01
 15.000 -1.2188E+00  2.2863E-02 -2.6662E+01  9.248E-01  2.7755E+01  1.5002E+01
 16.000 -1.4494E+00  1.7170E-02 -2.7033E+01  9.248E-01  3.0548E+01  1.6001E+01
 17.000 -1.6632E+00  1.2983E-02 -2.7401E+01  9.256E-01  3.3435E+01  1.7000E+01
 18.000 -1.8632E+00  9.9692E-03 -2.7753E+01  9.268E-01  3.6415E+01  1.7999E+01
 19.000 -2.0508E+00  7.7642E-03 -2.8102E+01  9.281E-01  3.9483E+01  1.8998E+01
 20.000 -2.2260E+00  6.1120E-03 -2.8441E+01  9.297E-01  4.2636E+01  1.9998E+01
 21.000 -2.3917E+00  4.8901E-03 -2.8767E+01  9.310E-01  4.5871E+01  2.0997E+01
 22.000 -2.5472E+00  3.9435E-03 -2.9091E+01  9.322E-01  4.9186E+01  2.1997E+01
 23.000 -2.6950E+00  3.2293E-03 -2.9399E+01  9.330E-01  5.2578E+01  2.2997E+01
 24.000 -2.8352E+00  2.6820E-03 -2.9706E+01  9.337E-01  5.6045E+01  2.3997E+01
 25.000 -2.9689E+00  2.2416E-03 -3.0004E+01  9.345E-01  5.9585E+01  2.4997E+01
