# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  10.250000      -0.17949101E-02  -0.18607806E-02   0.39964755E-02    1.0000000
  10.300000      -0.12534370E-02  -0.38846535E-02   0.39030032E-02    1.0000000
  10.350000      -0.55546268E-03  -0.56101616E-02   0.38095309E-02    1.0000000
  10.400000       0.11109626E-03  -0.69553594E-02   0.37056704E-02    1.0000000
  10.450000      -0.55741949E-03  -0.78739731E-02   0.35676534E-02    1.0000000
  10.500000      -0.12655135E-02  -0.83572847E-02   0.34296364E-02    1.0000000
  10.550000      -0.18913585E-02  -0.84314444E-02   0.32916194E-02    1.0000000
  10.600000      -0.23131270E-02  -0.81507124E-02   0.31536024E-02    1.0000000
  10.650000      -0.22887429E-02  -0.75877230E-02   0.32568736E-02    1.0000000
  10.700000      -0.39381030E-03  -0.68222875E-02   0.39306480E-02    1.0000000
  10.750000       0.16506347E-02  -0.59304443E-02   0.46044225E-02    1.0000000
  10.800000       0.35707488E-02  -0.49753850E-02   0.52781969E-02    1.0000000
  10.850000       0.50926882E-02  -0.40015563E-02   0.59519714E-02   1.00000000
  10.900000       0.56773319E-02  -0.30326971E-02   0.62404918E-02   0.93301117
  10.950000       0.30022850E-02  -0.20739151E-02   0.57251077E-02   0.74999788
  11.000000      -0.62045191E-04  -0.11091807E-02   0.52097236E-02   0.49999817
  11.050000      -0.30845060E-02  -0.11295096E-03   0.46943395E-02   0.24999894
  11.100000      -0.56339449E-02   0.91523169E-03   0.41789554E-02   0.66986993E-01
  11.150000      -0.62209369E-02   0.19740141E-02   0.39958946E-02    0.0000000
  11.200000      -0.39321509E-02   0.30430117E-02   0.40358662E-02   0.38025635E-39
  11.250000      -0.95420924E-03   0.40796780E-02   0.40758379E-02    0.0000000
  11.300000       0.23569198E-02   0.50208937E-02   0.41158096E-02    0.0000000
  11.350000       0.56452677E-02   0.57893478E-02   0.41557812E-02    0.0000000
  11.400000       0.66138307E-02   0.63039227E-02   0.43274699E-02    0.0000000
  11.450000       0.58035253E-02   0.64925338E-02   0.45161386E-02    0.0000000
  11.500000       0.43978066E-02   0.43978066E-02   0.47048074E-02    0.0000000
  11.550000       0.25783800E-02   0.25783800E-02   0.48934762E-02    0.0000000
  11.600000       0.52695077E-03   0.52695077E-03   0.50821449E-02    0.0000000
  11.650000      -0.15747759E-02  -0.15747759E-02   0.52708137E-02    0.0000000
  11.700000      -0.35450946E-02  -0.35450946E-02   0.54594824E-02    0.0000000
  11.750000      -0.38333693E-02  -0.38333693E-02   0.52927380E-02    0.0000000
  11.800000      -0.33769522E-02  -0.33769522E-02   0.51257380E-02    0.0000000
  11.850000      -0.26937256E-02  -0.26937256E-02   0.49587381E-02    0.0000000
  11.900000      -0.18454136E-02  -0.18454136E-02   0.47917381E-02    0.0000000
  11.950000      -0.89374003E-03  -0.89374003E-03   0.46247381E-02    0.0000000
  12.000000       0.99570903E-04   0.99570903E-04   0.44577381E-02    0.0000000
  12.050000       0.10615815E-02   0.10615815E-02   0.42901226E-02    0.0000000
  12.100000       0.18772135E-02   0.18772135E-02   0.41215626E-02    0.0000000
  12.150000       0.25623473E-02   0.25623473E-02   0.39530027E-02    0.0000000
  12.200000       0.30662794E-02   0.30662794E-02   0.37844428E-02    0.0000000
  12.250000       0.33383068E-02   0.33383068E-02   0.36158828E-02    0.0000000
  12.300000       0.33277261E-02   0.33277261E-02   0.34473229E-02    0.0000000
  12.350000       0.29838342E-02   0.29838342E-02   0.32787629E-02    0.0000000
  12.400000       0.13562495E-02   0.13562495E-02   0.35919122E-02    0.0000000
  12.450000      -0.10421177E-02  -0.10421177E-02   0.39507113E-02    0.0000000
  12.500000      -0.35720663E-02  -0.35720663E-02   0.43095104E-02    0.0000000
  12.550000      -0.60787420E-02  -0.60787420E-02   0.46683095E-02    0.0000000
  12.600000      -0.84072906E-02  -0.84072906E-02   0.50271087E-02    0.0000000
  12.650000      -0.10402858E-01  -0.10402858E-01   0.53859078E-02    0.0000000
  12.700000      -0.11315468E-01  -0.11315468E-01   0.54379909E-02    0.0000000
  12.750000      -0.10677836E-01  -0.10677836E-01   0.53139212E-02    0.0000000
  12.800000      -0.96055842E-02  -0.96055842E-02   0.51898516E-02    0.0000000
  12.850000      -0.81977346E-02  -0.81977346E-02   0.50657820E-02    0.0000000
  12.900000      -0.65533084E-02  -0.65533084E-02   0.49417124E-02    0.0000000
  12.950000      -0.47713267E-02  -0.47713267E-02   0.48176428E-02    0.0000000
  13.000000      -0.30963234E-02  -0.30963234E-02   0.47795215E-02    0.0000000
  13.050000      -0.18511972E-02  -0.18511972E-02   0.48148840E-02    0.0000000
  13.100000      -0.65060056E-03  -0.65060056E-03   0.48502466E-02    0.0000000
  13.150000       0.49553757E-03   0.49553757E-03   0.48856091E-02    0.0000000
  13.200000       0.15772882E-02   0.15772882E-02   0.49209716E-02    0.0000000
  13.250000       0.25847223E-02   0.25847223E-02   0.49563341E-02    0.0000000
  13.300000       0.34740300E-02   0.34740300E-02   0.49739779E-02    0.0000000
  13.350000       0.41582627E-02   0.41582627E-02   0.49749929E-02    0.0000000
  13.400000       0.47499527E-02   0.47499527E-02   0.49760079E-02    0.0000000
  13.450000       0.52572865E-02   0.52572865E-02   0.49770229E-02    0.0000000
  13.500000       0.56884504E-02   0.56884504E-02   0.49780379E-02    0.0000000
  13.550000       0.60516307E-02   0.60516307E-02   0.49790529E-02    0.0000000
  13.600000       0.63550139E-02   0.63550139E-02   0.49800679E-02    0.0000000
  13.650000       0.66067862E-02   0.66067862E-02   0.49810829E-02    0.0000000
  13.700000       0.69753742E-02   0.69753742E-02   0.53661989E-02    0.0000000
  13.750000       0.75190393E-02   0.75190393E-02   0.59167291E-02    0.0000000
  13.800000       0.79775106E-02   0.79775106E-02   0.64672594E-02    0.0000000
  13.850000       0.83196512E-02   0.83196512E-02   0.70177897E-02    0.0000000
  13.900000       0.85143240E-02   0.85143240E-02   0.75683200E-02    0.0000000
  13.950000       0.85303923E-02   0.85303923E-02   0.81188503E-02    0.0000000
  14.000000       0.83367189E-02   0.83367189E-02   0.86693805E-02    0.0000000
  14.050000       0.79021671E-02   0.79021671E-02   0.91341072E-02    0.0000000
  14.100000       0.64614625E-02   0.64614625E-02   0.86477950E-02    0.0000000
  14.150000       0.46048159E-02   0.46048159E-02   0.81614827E-02    0.0000000
  14.200000       0.26021681E-02   0.26021681E-02   0.76751705E-02    0.0000000
  14.250000       0.52314892E-03   0.52314892E-03   0.71888582E-02    0.0000000
  14.300000      -0.15626115E-02  -0.15626115E-02   0.67025460E-02    0.0000000
  14.350000      -0.35854833E-02  -0.35854833E-02   0.62162337E-02    0.0000000
  14.400000      -0.54758364E-02  -0.54758364E-02   0.57299215E-02    0.0000000
  14.450000      -0.68815546E-02  -0.68815546E-02   0.57589933E-02    0.0000000
  14.500000      -0.76383185E-02  -0.76383185E-02   0.59991600E-02    0.0000000
  14.550000      -0.81682678E-02  -0.81682678E-02   0.62393267E-02    0.0000000
  14.600000      -0.84803779E-02  -0.84803779E-02   0.64794934E-02    0.0000000
  14.650000      -0.85836243E-02  -0.85836243E-02   0.67196602E-02    0.0000000
  14.700000      -0.84869824E-02  -0.84869824E-02   0.69598269E-02    0.0000000
  14.750000      -0.81994275E-02  -0.81994275E-02   0.71999936E-02    0.0000000
  14.800000      -0.76620939E-02  -0.76620939E-02   0.71553362E-02    0.0000000
  14.850000      -0.66553981E-02  -0.66553981E-02   0.68141084E-02    0.0000000
  14.900000      -0.55404487E-02  -0.55404487E-02   0.64728805E-02    0.0000000
  14.950000      -0.43709426E-02  -0.43709426E-02   0.61316527E-02    0.0000000
  15.000000      -0.32005770E-02  -0.32005770E-02   0.57904249E-02    0.0000000
  15.050000      -0.20830491E-02  -0.20830491E-02   0.54491971E-02    0.0000000
  15.100000      -0.10720559E-02  -0.10720559E-02   0.51079693E-02    0.0000000
  15.150000      -0.38315103E-03  -0.38315103E-03   0.53888229E-02    0.0000000
  15.200000      -0.76519541E-03  -0.76519541E-03   0.63654948E-02    0.0000000
  15.250000      -0.12553228E-02  -0.12553228E-02   0.73421667E-02    0.0000000
  15.300000      -0.17754716E-02  -0.17754716E-02   0.83188387E-02    0.0000000
  15.350000      -0.22475800E-02  -0.22475800E-02   0.92955106E-02    0.0000000
  15.400000      -0.25935863E-02  -0.25935863E-02   0.10272183E-01    0.0000000
  15.450000      -0.27354287E-02  -0.27354287E-02   0.11248855E-01    0.0000000
  15.500000      -0.21244999E-02  -0.21244999E-02   0.11207512E-01    0.0000000
  15.550000      -0.13336525E-03  -0.13336525E-03   0.10555753E-01    0.0000000
  15.600000       0.20173659E-02   0.20173659E-02   0.99039939E-02    0.0000000
  15.650000       0.41998509E-02   0.41998509E-02   0.92522346E-02    0.0000000
  15.700000       0.62862470E-02   0.62862470E-02   0.86004754E-02    0.0000000
  15.750000       0.81487114E-02   0.81487114E-02   0.79487161E-02    0.0000000
  15.800000       0.96594015E-02   0.96594015E-02   0.72969569E-02    0.0000000
  15.850000       0.91745596E-02   0.91745596E-02   0.75711012E-02    0.0000000
  15.900000       0.76079002E-02   0.76079002E-02   0.79045359E-02    0.0000000
  15.950000       0.60412408E-02   0.60412408E-02   0.82379705E-02    0.0000000
  16.000000       0.44745814E-02   0.44745814E-02   0.85714052E-02    0.0000000
  16.050000       0.29079220E-02   0.29079220E-02   0.89048398E-02    0.0000000
  16.100000       0.13412626E-02   0.13412626E-02   0.92382745E-02    0.0000000
  16.150000      -0.14709525E-03  -0.14709525E-03   0.93742081E-02    0.0000000
  16.200000       0.47780064E-03   0.47780064E-03   0.91811636E-02    0.0000000
  16.250000       0.11026965E-02   0.11026965E-02   0.89881191E-02    0.0000000
  16.300000       0.17275924E-02   0.17275924E-02   0.87950747E-02    0.0000000
  16.350000       0.23524883E-02   0.23524883E-02   0.86020302E-02    0.0000000
  16.400000       0.29773842E-02   0.29773842E-02   0.84089857E-02    0.0000000
  16.450000       0.36022801E-02   0.36022801E-02   0.82159412E-02    0.0000000
  16.500000       0.29688458E-02   0.29688458E-02   0.82852198E-02    0.0000000
  16.550000       0.15318126E-02   0.15318126E-02   0.83666526E-02    0.0000000
  16.600000       0.94779412E-04   0.94779412E-04   0.84480854E-02    0.0000000
  16.650000      -0.13422538E-02  -0.13422538E-02   0.85295182E-02    0.0000000
  16.700000      -0.27792869E-02  -0.27792869E-02   0.86109510E-02    0.0000000
  16.750000      -0.42163201E-02  -0.42163201E-02   0.86923838E-02    0.0000000
  16.800000      -0.52677263E-02  -0.52677263E-02   0.92756766E-02    0.0000000
  16.850000      -0.51111248E-02  -0.51111248E-02   0.10200393E-01    0.0000000
  16.900000      -0.49545233E-02  -0.49545233E-02   0.11125109E-01    0.0000000
  16.950000      -0.47979218E-02  -0.47979218E-02   0.12049825E-01    0.0000000
  17.000000      -0.46413203E-02  -0.46413203E-02   0.12974541E-01    0.0000000
  17.050000      -0.44847188E-02  -0.44847188E-02   0.13899257E-01    0.0000000
  17.100000      -0.43281172E-02  -0.43281172E-02   0.14823973E-01    0.0000000
