 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.103 Rnm= 1.266 K shell
 Pot 1 Z= 6 Rmt= 0.719 Rnm= 1.061
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.526E+00 kf=2.607E+00 Vint=-3.041E+01 Rs_int= 1.391
 Path    7      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   4  40.000   3.8565    2.0466   -4.52603 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
    -1.6422   -0.9617   -0.6987  1   6 C     
    -1.6422   -0.9617    0.6987  1   6 C     
    -1.6422    0.3673   -1.1306  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3111E+00  0.0000E+00 -1.3428E+00  0.1016E+01  2.9982E+01  2.6068E+00
  0.200  2.3076E+00  1.4143E-02 -2.8325E+00  0.1016E+01  3.0064E+01  2.6141E+00
  0.400  2.2974E+00  2.7422E-02 -4.2179E+00  0.1016E+01  3.0279E+01  2.6359E+00
  0.600  2.2805E+00  3.9058E-02 -5.5035E+00  0.1016E+01  3.0539E+01  2.6719E+00
  0.800  2.2573E+00  4.8448E-02 -6.6960E+00  0.1015E+01  3.0708E+01  2.7215E+00
  1.000  2.2284E+00  5.5246E-02 -7.8036E+00  0.1015E+01  3.0625E+01  2.7842E+00
  1.200  2.1941E+00  5.9409E-02 -8.8351E+00  0.1016E+01  3.0144E+01  2.8593E+00
  1.400  2.1550E+00  6.1180E-02 -9.7988E+00  0.1017E+01  2.9186E+01  2.9462E+00
  1.600  2.1114E+00  6.1006E-02 -1.0701E+01  0.1018E+01  2.7776E+01  3.0442E+00
  1.800  2.0636E+00  5.9428E-02 -1.1548E+01  0.1020E+01  2.6032E+01  3.1528E+00
  2.000  2.0115E+00  5.6959E-02 -1.2340E+01  0.1023E+01  2.4132E+01  3.2718E+00
  2.200  1.9551E+00  5.3990E-02 -1.3076E+01  0.1026E+01  2.2261E+01  3.4007E+00
  2.400  1.8935E+00  5.0741E-02 -1.3754E+01  0.1030E+01  2.0571E+01  3.5396E+00
