 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 -----------------------------------------------------------------------
    file        sig2   amp ratio    deg    nlegs  r effective
 feff0001.dat 0.00000   100.000    10.000     2   2.0648
 feff0002.dat 0.00000    33.067    20.000     3   2.7789
 feff0003.dat 0.00000     8.363    10.000     2   2.8339
 feff0004.dat 0.00000    12.473    20.000     3   2.9906
 feff0005.dat 0.00000     4.580    10.000     4   3.1472
 feff0006.dat 0.00000    11.854    20.000     3   3.2202
 feff0007.dat 0.00000    12.271    20.000     4   3.4929
 feff0008.dat 0.00000     6.176    40.000     4   3.7046
 feff0009.dat 0.00000     5.285    10.000     3   3.7343
 feff0010.dat 0.00000     5.942    40.000     5   3.8613
 feff0011.dat 0.00000    16.558    20.000     3   3.8806
 feff0012.dat 0.00000    12.714    40.000     4   3.9343
 feff0013.dat 0.00000    28.780    20.000     3   4.0951
 feff0014.dat 0.00000    13.780    20.000     4   4.1296
 feff0016.dat 0.00000     5.012    10.000     4   4.1296
 feff0017.dat 0.00000     7.086    20.000     4   4.1296
 feff0018.dat 0.00000     4.339    20.000     4   4.1296
 feff0020.dat 0.00000     4.291    40.000     5   4.2070
 feff0021.dat 0.00000     7.517    20.000     5   4.2070
 feff0022.dat 0.00000     4.373    40.000     4   4.2846
 feff0023.dat 0.00000     5.936    40.000     5   4.3026
 feff0024.dat 0.00000     7.917    20.000     4   4.3756
 feff0025.dat 0.00000     4.852    20.000     4   4.3756
 feff0026.dat 0.00000     3.550    40.000     5   4.4187
 feff0027.dat 0.00000     3.320    40.000     5   4.4413
 feff0028.dat 0.00000     2.833    40.000     6   4.5753
 feff0029.dat 0.00000    10.504    40.000     4   4.5947
 feff0030.dat 0.00000     3.724    40.000     4   4.6129
 feff0031.dat 0.00000     6.547    40.000     5   4.6483
 feff0032.dat 0.00000     8.418    40.000     4   4.8092
 feff0033.dat 0.00000    10.931    40.000     4   4.8092
 feff0034.dat 0.00000     5.508    40.000     3   4.8132
 feff0035.dat 0.00000     4.660    20.000     6   4.9211
 feff0036.dat 0.00000     5.570    40.000     4   4.9698
