 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.116 Rnm= 1.280 K shell
 Pot 1 Z= 6 Rmt= 0.727 Rnm= 1.071
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.373E+00 kf=2.576E+00 Vint=-2.965E+01 Rs_int= 1.408
 Path    8      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   3  20.000   4.0670    2.0659   -4.37306 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
    -1.6610    1.2023    0.0000  1   6 C     
     1.6610   -0.9727    0.7067  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3452E+00  0.0000E+00 -3.4356E+00  0.1016E+01  2.9628E+01  2.5760E+00
  0.200  2.3418E+00  6.8579E-02 -4.9987E+00  0.1016E+01  2.9711E+01  2.5834E+00
  0.400  2.3316E+00  1.3519E-01 -6.4360E+00  0.1016E+01  2.9928E+01  2.6055E+00
  0.600  2.3148E+00  1.9777E-01 -7.7517E+00  0.1015E+01  3.0191E+01  2.6419E+00
  0.800  2.2919E+00  2.5422E-01 -8.9522E+00  0.1015E+01  3.0359E+01  2.6921E+00
  1.000  2.2631E+00  3.0256E-01 -1.0045E+01  0.1015E+01  3.0271E+01  2.7555E+00
  1.200  2.2291E+00  3.4122E-01 -1.1039E+01  0.1016E+01  2.9781E+01  2.8314E+00
  1.400  2.1902E+00  3.6923E-01 -1.1940E+01  0.1016E+01  2.8813E+01  2.9191E+00
  1.600  2.1468E+00  3.8629E-01 -1.2757E+01  0.1018E+01  2.7394E+01  3.0181E+00
  1.800  2.0991E+00  3.9269E-01 -1.3493E+01  0.1020E+01  2.5651E+01  3.1278E+00
  2.000  2.0471E+00  3.8911E-01 -1.4153E+01  0.1023E+01  2.3764E+01  3.2479E+00
  2.200  1.9904E+00  3.7650E-01 -1.4738E+01  0.1026E+01  2.1919E+01  3.3781E+00
  2.400  1.9284E+00  3.5595E-01 -1.5250E+01  0.1030E+01  2.0268E+01  3.5184E+00
  2.600  1.8597E+00  3.2870E-01 -1.5688E+01  0.1035E+01  1.8920E+01  3.6686E+00
  2.800  1.7974E+00  2.9619E-01 -1.6053E+01  0.1031E+01  1.7951E+01  3.8290E+00
  3.000  1.6090E+00  2.6229E-01 -1.6151E+01  0.1054E+01  1.3204E+01  4.0396E+00
  3.200  1.6054E+00  2.6524E-01 -1.6690E+01  0.1129E+01  8.7196E+00  4.1677E+00
  3.400  1.5990E+00  2.4401E-01 -1.7143E+01  0.1167E+01  7.2819E+00  4.3020E+00
  3.600  1.5735E+00  2.1359E-01 -1.7559E+01  0.1185E+01  6.6233E+00  4.4422E+00
  3.800  1.5358E+00  1.8304E-01 -1.7959E+01  0.1191E+01  6.2884E+00  4.5878E+00
  4.000  1.4843E+00  1.5362E-01 -1.8345E+01  0.1190E+01  6.1228E+00  4.7382E+00
  4.200  1.4368E+00  1.2687E-01 -1.8727E+01  0.1184E+01  6.0594E+00  4.8931E+00
  4.400  1.3766E+00  1.0402E-01 -1.9095E+01  0.1177E+01  6.0637E+00  5.0521E+00
  4.600  1.3170E+00  8.5778E-02 -1.9443E+01  0.1167E+01  6.1161E+00  5.2146E+00
  4.800  1.2450E+00  7.0968E-02 -1.9779E+01  0.1157E+01  6.2047E+00  5.3804E+00
  5.000  1.1688E+00  5.9545E-02 -2.0101E+01  0.1146E+01  6.3216E+00  5.5492E+00
