 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.095 Rnm= 1.258 K shell
 Pot 1 Z= 6 Rmt= 0.715 Rnm= 1.056
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.622E+00 kf=2.624E+00 Vint=-3.086E+01 Rs_int= 1.382
 Path    4      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   4  20.000   3.4017    2.0363   -4.62221 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
     1.6311    1.1807    0.0000  1   6 C     
     1.6311    0.3648   -1.1230  1   6 C     
     1.6311    1.1807    0.0000  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.2931E+00  0.0000E+00 -3.2612E+00  0.1016E+01  3.0187E+01  2.6246E+00
  0.200  2.2897E+00  1.8426E-02 -4.5785E+00  0.1016E+01  3.0268E+01  2.6319E+00
  0.400  2.2794E+00  3.5415E-02 -5.8107E+00  0.1016E+01  3.0482E+01  2.6536E+00
  0.600  2.2624E+00  4.9755E-02 -6.9625E+00  0.1016E+01  3.0741E+01  2.6893E+00
  0.800  2.2392E+00  6.0657E-02 -8.0410E+00  0.1015E+01  3.0911E+01  2.7386E+00
  1.000  2.2102E+00  6.7882E-02 -9.0549E+00  0.1015E+01  3.0830E+01  2.8010E+00
  1.200  2.1757E+00  7.1760E-02 -1.0013E+01  0.1016E+01  3.0354E+01  2.8756E+00
  1.400  2.1365E+00  7.3068E-02 -1.0923E+01  0.1017E+01  2.9403E+01  2.9619E+00
  1.600  2.0927E+00  7.2791E-02 -1.1788E+01  0.1018E+01  2.7997E+01  3.0594E+00
  1.800  2.0447E+00  7.1840E-02 -1.2608E+01  0.1020E+01  2.6253E+01  3.1674E+00
  2.000  1.9925E+00  7.0801E-02 -1.3378E+01  0.1023E+01  2.4346E+01  3.2857E+00
  2.200  1.9360E+00  6.9815E-02 -1.4091E+01  0.1026E+01  2.2461E+01  3.4139E+00
  2.400  1.8746E+00  6.8633E-02 -1.4738E+01  0.1030E+01  2.0750E+01  3.5520E+00
  2.600  1.8072E+00  6.6803E-02 -1.5317E+01  0.1034E+01  1.9327E+01  3.6999E+00
  2.800  1.7527E+00  6.3879E-02 -1.5824E+01  0.1037E+01  1.8266E+01  3.8576E+00
  3.000  1.5448E+00  5.6364E-02 -1.6125E+01  0.1033E+01  1.5873E+01  4.0763E+00
  3.200  1.5414E+00  6.5448E-02 -1.6709E+01  0.1116E+01  9.3539E+00  4.2030E+00
  3.400  1.5384E+00  6.8953E-02 -1.7206E+01  0.1159E+01  7.5699E+00  4.3360E+00
  3.600  1.5131E+00  6.7363E-02 -1.7633E+01  0.1180E+01  6.7860E+00  4.4749E+00
  3.800  1.4799E+00  6.1970E-02 -1.8030E+01  0.1189E+01  6.3888E+00  4.6192E+00
  4.000  1.4297E+00  5.4424E-02 -1.8416E+01  0.1189E+01  6.1861E+00  4.7683E+00
  4.200  1.3828E+00  4.6481E-02 -1.8808E+01  0.1185E+01  6.0975E+00  4.9220E+00
  4.400  1.3279E+00  3.9137E-02 -1.9194E+01  0.1178E+01  6.0832E+00  5.0798E+00
  4.600  1.2679E+00  3.2902E-02 -1.9552E+01  0.1169E+01  6.1209E+00  5.2412E+00
  4.800  1.2015E+00  2.7488E-02 -1.9900E+01  0.1160E+01  6.1972E+00  5.4060E+00
  5.000  1.1274E+00  2.3044E-02 -2.0225E+01  0.1150E+01  6.3034E+00  5.5737E+00
  5.200  1.0539E+00  1.9290E-02 -2.0544E+01  0.1139E+01  6.4336E+00  5.7441E+00
  5.400  9.7678E-01  1.6269E-02 -2.0841E+01  0.1129E+01  6.5839E+00  5.9170E+00
  5.600  8.9626E-01  1.3698E-02 -2.1134E+01  0.1119E+01  6.7510E+00  6.0920E+00
  5.800  8.1621E-01  1.1594E-02 -2.1415E+01  0.1109E+01  6.9328E+00  6.2690E+00
  6.000  7.3572E-01  9.8446E-03 -2.1678E+01  0.1100E+01  7.1275E+00  6.4478E+00
  6.500  5.3663E-01  6.5259E-03 -2.2293E+01  0.1077E+01  7.6627E+00  6.9014E+00
